Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2014:Q1,Next9,33182883,7274031,6293640,980391,25908852,2854997,738336,1187790,949209,238581,403034,364150,38884,6764850,442527,1124669,2224033,7017075,2919838,231702,2520133,2510784,2009023,239808,24619,237333,9349,30662750,11095364,
2014:Q1,Next40,28553605,10627785,8686060,1941725,17925820,2615862,340771,510365,404316,106049,99077,75072,24005,2483971,507903,618705,2626765,6369959,1242415,510027,5481983,5471352,4315574,1020599,30027,105151,10631,23071622,49297747,
2014:Q1,Bottom50,5354717,3720518,2600993,1119525,1634199,380226,21025,30777,24964,5813,5017,581,4436,147274,119271,29106,332996,250480,115892,202136,4660515,4657889,2632822,1781654,92451,150961,2626,694202,61655191,
2014:Q2,TopPt1,10065751,1172637,780527,392111,8893114,787671,141106,694919,533539,161381,206438,184324,22113,4561436,119528,3387,129058,41856,2182478,25235,81340,79726,35373,14046,8762,21545,1614,9984412,123375,
2014:Q2,RemainingTop1,14923673,2645844,2294246,351597,12277830,1278834,343593,807226,623782,183444,433061,407043,26018,5198550,274237,178246,708871,877890,2111096,66227,538736,532463,365546,46030,8353,112535,6273,14384937,1111830,
2014:Q2,Next9,33956536,7399289,6423305,975984,26557247,2879033,714461,1205431,937474,267957,407286,367276,40010,7101426,449796,1164517,2306169,7134761,2960695,233672,2531002,2521225,2008531,248571,25005,239117,9777,31425534,11125824,
2014:Q2,Next40,28960602,10818375,8861292,1957083,18142227,2614109,336432,528753,403663,125090,97364,74204,23160,2563890,519019,624896,2671938,6403209,1268229,514388,5552990,5541960,4344851,1057372,32245,107492,11030,23407611,49434225,
2014:Q2,Bottom50,5418472,3767715,2646946,1120769,1650757,380988,19935,31845,25024,6821,4627,662,3965,155230,121032,28654,339269,248350,117313,203515,4628373,4625641,2580703,1797983,93543,153412,2732,790100,61823491,
2014:Q3,TopPt1,10127448,1202504,794403,408101,8924944,800309,146058,686420,525906,160514,217772,196308,21464,4472620,118397,5201,133740,46338,2273043,25047,81736,80222,37057,14856,8853,19457,1514,10045712,123696,
2014:Q3,RemainingTop1,15027562,2702437,2352914,349523,12325125,1325316,343465,812818,629592,183226,414960,390200,24760,5142783,272257,167664,711075,847650,2220523,66614,541725,535863,371325,50208,9778,104552,5862,14485837,1114751,
